"command","parser_support","handler_present","handler_fn","default_tracked","tests_referencing","risk_hint","test_files"
"abstract","generic","false","","false","0","low",""
"accum","dedicated","true","handleAccumCommand","true","3","low","c:/Users/dbroo/azdo/coresplorer/src/entities/field/lib/lineage/command-handlers/new-handlers.test.ts; c:/Users/dbroo/azdo/coresplorer/src/entities/field/lib/lineage/debug-commands.test.ts; c:/Users/dbroo/azdo/coresplorer/src/entities/field/lib/lineage/handler-coverage.test.ts"
"addcoltotals","dedicated","true","handleAddcoltotalsCommand","false","1","high","c:/Users/dbroo/azdo/coresplorer/src/entities/field/lib/lineage/handler-coverage.test.ts"
"addinfo","dedicated","false","","false","1","high","c:/Users/dbroo/azdo/coresplorer/src/entities/field/lib/lineage/handler-coverage.test.ts"
"addtotals","dedicated","true","handleAddtotalsCommand","true","2","low","c:/Users/dbroo/azdo/coresplorer/src/entities/field/lib/lineage/command-handlers/new-handlers.test.ts; c:/Users/dbroo/azdo/coresplorer/src/entities/field/lib/lineage/handler-coverage.test.ts"
"analyzefields","generic","false","","false","0","low",""
"anomalies","dedicated","false","","false","1","high","c:/Users/dbroo/azdo/coresplorer/src/entities/field/lib/lineage/handler-coverage.test.ts"
"anomalousvalue","generic","false","","false","0","low",""
"anomalydetection","generic","false","","false","0","low",""
"append","dedicated","true","handleAppendCommand","true","3","low","c:/Users/dbroo/azdo/coresplorer/src/entities/field/lib/lineage/command-handlers/new-handlers.test.ts; c:/Users/dbroo/azdo/coresplorer/src/entities/field/lib/lineage/handler-coverage.test.ts; c:/Users/dbroo/azdo/coresplorer/src/entities/field/lib/lineage/scope-aware.test.ts"
"appendcols","dedicated","true","handleAppendcolsCommand","true","3","low","c:/Users/dbroo/azdo/coresplorer/src/entities/field/lib/lineage/command-handlers/new-handlers.test.ts; c:/Users/dbroo/azdo/coresplorer/src/entities/field/lib/lineage/handler-coverage.test.ts; c:/Users/dbroo/azdo/coresplorer/src/entities/field/lib/lineage/scope-aware.test.ts"
"appendpipe","dedicated","false","","false","1","high","c:/Users/dbroo/azdo/coresplorer/src/entities/field/lib/lineage/handler-coverage.test.ts"
"arules","generic","false","","false","0","low",""
"associate","generic","false","","false","0","low",""
"audit","generic","false","","false","0","low",""
"autoregress","dedicated","true","handleAutoregressCommand","true","2","low","c:/Users/dbroo/azdo/coresplorer/src/entities/field/lib/lineage/debug-commands.test.ts; c:/Users/dbroo/azdo/coresplorer/src/entities/field/lib/lineage/handler-coverage.test.ts"
"bin","dedicated","true","handleBinCommand","true","2","low","c:/Users/dbroo/azdo/coresplorer/src/entities/field/lib/lineage/handler-coverage.test.ts; c:/Users/dbroo/azdo/coresplorer/src/entities/field/lib/lineage/testing/commands/implemented.test.ts"
"bucket","unknown","true","handleBinCommand","true","1","low","c:/Users/dbroo/azdo/coresplorer/src/entities/field/lib/lineage/handler-coverage.test.ts"
"bucketdir","dedicated","true","handleBucketdirCommand","false","1","high","c:/Users/dbroo/azdo/coresplorer/src/entities/field/lib/lineage/handler-coverage.test.ts"
"chart","unknown","true","handleStatsCommand","true","1","low","c:/Users/dbroo/azdo/coresplorer/src/entities/field/lib/lineage/handler-coverage.test.ts"
"cluster","dedicated","false","","false","1","high","c:/Users/dbroo/azdo/coresplorer/src/entities/field/lib/lineage/handler-coverage.test.ts"
"cofilter","generic","false","","false","0","low",""
"collect","dedicated","false","","false","1","high","c:/Users/dbroo/azdo/coresplorer/src/entities/field/lib/lineage/handler-coverage.test.ts"
"concurrency","dedicated","true","handleConcurrencyCommand","false","1","high","c:/Users/dbroo/azdo/coresplorer/src/entities/field/lib/lineage/handler-coverage.test.ts"
"contingency","dedicated","true","handleContingencyCommand","false","1","high","c:/Users/dbroo/azdo/coresplorer/src/entities/field/lib/lineage/handler-coverage.test.ts"
"convert","dedicated","true","handleConvertCommand","false","1","high","c:/Users/dbroo/azdo/coresplorer/src/entities/field/lib/lineage/handler-coverage.test.ts"
"correlate","dedicated","false","","false","1","high","c:/Users/dbroo/azdo/coresplorer/src/entities/field/lib/lineage/handler-coverage.test.ts"
"crawl","unknown","false","","false","0","low",""
"datamodel","dedicated","false","","false","1","high","c:/Users/dbroo/azdo/coresplorer/src/entities/field/lib/lineage/handler-coverage.test.ts"
"dbinspect","generic","false","","false","0","low",""
"dedup","dedicated","true","handleDedupCommand","true","3","low","c:/Users/dbroo/azdo/coresplorer/src/entities/field/lib/lineage/command-handlers/new-handlers.test.ts; c:/Users/dbroo/azdo/coresplorer/src/entities/field/lib/lineage/handler-coverage.test.ts; c:/Users/dbroo/azdo/coresplorer/src/entities/field/lib/lineage/testing/commands/implemented.test.ts"
"delete","generic","false","","false","0","low",""
